\;File name;Slice name;# Boxes;RegMin;RegMax;Scanning type;Color model;Db;R2;StdErr
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
"";512_10;null;10;1;10;Raster box;Binary;-0.0;NaN;0.0
